target_start_ns,target_duration_ns,target_stream,target_family,target_name,offset,context_start_ns,context_duration_ns,context_stream,context_family,context_name
36282014667,320,7,copy / cast,[CUDA memcpy Host-to-Device],-1,36281980906,992,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
36282014667,320,7,copy / cast,[CUDA memcpy Host-to-Device],1,36282027883,288,7,copy / cast,[CUDA memcpy Host-to-Device]
36282014667,320,7,copy / cast,[CUDA memcpy Host-to-Device],2,36282037547,992,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<int>(at::TensorIteratorBase &, at::native::..."
36282027883,288,7,copy / cast,[CUDA memcpy Host-to-Device],-2,36281980906,992,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
36282027883,288,7,copy / cast,[CUDA memcpy Host-to-Device],-1,36282014667,320,7,copy / cast,[CUDA memcpy Host-to-Device]
36282027883,288,7,copy / cast,[CUDA memcpy Host-to-Device],1,36282037547,992,7,elementwise,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<int>(at::TensorIteratorBase &, at::native::..."
36282027883,288,7,copy / cast,[CUDA memcpy Host-to-Device],2,36282094252,832,7,fill,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
36282115724,288,7,copy / cast,[CUDA memcpy Host-to-Device],-2,36282094252,832,7,fill,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
36282115724,288,7,copy / cast,[CUDA memcpy Host-to-Device],-1,36282102796,864,7,fill,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
36282115724,288,7,copy / cast,[CUDA memcpy Host-to-Device],1,36282120844,1120,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...
36282115724,288,7,copy / cast,[CUDA memcpy Host-to-Device],2,36282129260,288,7,copy / cast,[CUDA memcpy Host-to-Device]
36282120844,1120,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,-2,36282102796,864,7,fill,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
36282120844,1120,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,-1,36282115724,288,7,copy / cast,[CUDA memcpy Host-to-Device]
36282120844,1120,7,copy / cast,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::oper...,1,36282129260,288,7,copy / cast,[CUDA memcpy Host-to-Device]
